Date: 2013-05-10 Time: 15:14:52

Log statistics for channel: 0
Data frames: 10532
Error frames: 0
Overload frames: 0
Max bus load: 19%

Log statistics for channel: 1
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 2
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 3
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Ch	No	TIME	TYPE	ID	DLC	MSG
0	8634	7,9752	Std	411	4	[FF, 1C, 03, DD]
0	8635	7,9787	Std	281	4	[01, D8, A7, 5D]
0	8636	7,9788	Std	0	1	[55]
0	8637	7,9791	Std	211	6	[02, 03, 01, EB, 79, CF]
0	8638	7,9795	Std	8	1	[03]
0	8639	7,9797	Std	10	6	[00, 03, 01, EB, 80, 17]
0	8640	7,9832	Std	209	3	[03, FF, FF]
0	8641	7,9837	Std	281	4	[01, D7, A7, 5D]
0	8642	7,9838	Std	0	1	[55]
0	8643	7,9841	Std	211	6	[01, 03, 01, EB, 7B, 26]
0	8644	7,9846	Std	8	1	[03]
0	8645	7,9848	Std	10	6	[00, 03, 01, EB, 81, 6E]
0	8646	7,9887	Std	281	4	[01, D7, A7, 5D]
0	8647	7,9888	Std	0	1	[55]
0	8648	7,9891	Std	211	6	[02, 03, 01, EB, 7C, 7D]
0	8649	7,9895	Std	8	1	[03]
0	8650	7,9897	Std	10	6	[00, 03, 01, EB, 82, C5]
0	8651	7,9937	Std	281	4	[01, D7, A7, 5E]
0	8652	7,9938	Std	0	1	[55]
0	8653	7,9941	Std	211	6	[01, 03, 01, EB, 7D, D5]
0	8654	7,9946	Std	8	1	[03]
0	8655	7,9948	Std	10	6	[00, 03, 01, EB, 84, 1D]
0	8656	7,9987	Std	281	4	[01, D7, A7, 5D]
0	8657	7,9988	Std	0	1	[55]
0	8658	7,9991	Std	211	6	[02, 03, 01, EB, 7F, 2B]
0	8659	7,9995	Std	8	1	[03]
0	8660	7,9997	Std	10	6	[00, 03, 01, EB, 85, 74]
0	8661	8,0037	Std	209	3	[03, FF, FF]
0	8662	8,0038	Std	0	1	[55]
0	8663	8,0039	Std	281	4	[01, D7, A7, 5D]
0	8664	8,0042	Std	211	6	[01, 03, 01, EB, 80, 83]
0	8665	8,0046	Std	8	1	[03]
0	8666	8,0048	Std	10	6	[00, 03, 01, EB, 86, CB]
0	8667	8,0087	Std	281	4	[01, D7, A7, 5D]
0	8668	8,0088	Std	0	1	[55]
0	8669	8,0091	Std	211	6	[02, 03, 01, EB, 81, D9]
0	8670	8,0095	Std	8	1	[03]
0	8671	8,0097	Std	10	6	[00, 03, 01, EB, 88, 22]
0	8672	8,0137	Std	281	4	[01, D7, A7, 5D]
0	8673	8,0138	Std	0	1	[55]
0	8674	8,0141	Std	211	6	[01, 03, 01, EB, 83, 32]
0	8675	8,0146	Std	8	1	[03]
0	8676	8,0148	Std	10	6	[00, 03, 01, EB, 89, 79]
0	8677	8,0187	Std	281	4	[01, D7, A7, 5D]
0	8678	8,0188	Std	0	1	[55]
0	8679	8,0191	Std	211	6	[02, 03, 01, EB, 84, 8A]
0	8680	8,0195	Std	8	1	[03]
0	8681	8,0197	Std	10	6	[00, 03, 01, EB, 8A, D1]
0	8682	8,0237	Std	281	4	[01, D7, A7, 5D]
0	8683	8,0238	Std	0	1	[55]
0	8684	8,0241	Std	211	6	[01, 03, 01, EB, 85, E2]
0	8685	8,0242	Std	209	3	[03, FF, FF]
0	8686	8,0246	Std	8	1	[03]
0	8687	8,0248	Std	10	6	[00, 03, 01, EB, 8C, 28]
0	8688	8,0249	Std	410	4	[1D, 9D, 04, 61]
0	8689	8,0252	Std	411	4	[1D, 9D, 04, 61]
0	8690	8,0287	Std	281	4	[01, D7, A7, 5D]
0	8691	8,0288	Std	0	1	[55]
